"id[String]","name[String]","commonTemplate[Asset Reference]","rareTemplate[Asset Reference]","epicTemplate[Asset Reference]","legendaryTemplate[Asset Reference]"
"Raptor","Ravenous Raptor","27C085DFC8418D3D","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton","The Undead","A11EF3567D2E501C","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton2","The Undead","C447EC1AC49B4074","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton3","The Undead","223DABE1EB2BF64E","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton4","The Undead","FB3898F039920D4C","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Dragon","Dragon Whelp","2B1285291AE6A720","CC68ADE49E791FB2","856E94FD27C4E7DF","0BADBADBADBADBAD"
"Spider","Spider","50EDA559FA2231AE","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Bandit","Thieving Rascal","D0039FC2330E7434","8ACF1F6E6A26ADE0","F274667D61F45A25","9967E925E02B9B67"
"MinionA","The Damned","2BC681BD0D169659","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"MinionB","The Blessed","6A58A65567B343C7","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
