"id[String]","name[String]","commonTemplate[Asset Reference]","rareTemplate[Asset Reference]","epicTemplate[Asset Reference]","legendaryTemplate[Asset Reference]"
"Raptor","Ravenous Raptor","EC82454A9CC75783","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton","The Undead","4EDC46ECB453D639","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton2","The Undead","31A747E7BA2E2971","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton3","The Undead","D6FB5F4A46D6FBFA","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton4","The Undead","75439FF013DD8CE2","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Dragon","Dragon Whelp","5E8519802C1D2E16","1D095A3D003D815E","4205BAA6DE753534","0BADBADBADBADBAD"
"Spider","Spider","26CEC72DACE08240","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Bandit","Thieving Rascal","97FCDC45B3042BF1","3945DCF05D7D0B24","AC1459083F5AA350","AF183BF9504EF019"
"MinionA","The Damned","B94327A16AEE441F","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"MinionB","The Blessed","A469B2F59A6566E9","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
